inspection_id,address,latitude,longitude,location,city,state,zip
1538026,3358 W FOSTER AVE,41.97580062815588,-87.71349867231145,"(41.97580062815588, -87.71349867231145)",CHICAGO,IL,60659
2104764,4619 S Wolcott AVE,41.8096282,-87.6719638,"(41.8096282,-87.6719638)",CHICAGO,IL,60609
2104239,6650 S Ellis AVE,41.7742214,-87.6012716,"(41.7742214,-87.6012716)",CHICAGO,IL,60637
2584686,1401 S CALIFORNIA AVE,41.8622623,-87.6951383,"(41.8622623,-87.6951383)",CHICAGO,IL,60608
2556523,135 N KEDZIE,41.88390509704504,-87.70605925083947,"(41.88390509704504, -87.70605925083947)",CHICAGO,IL,60612
1497852,5101-5109 S HALSTED ST,41.80154012834072,-87.64519698905924,"(41.80154012834072, -87.64519698905924)",CHICAGO,IL,60609
1496849,1401 S CALIFORNIA AVE,41.8622623,-87.6951383,"(41.8622623,-87.6951383)",CHICAGO,IL,60608
2569647,6040 N Kilpatrick AVE,41.9912004,-87.7464722,"(41.9912004,-87.7464722)",CHICAGO,IL,60646
1395621,4000 N O'HARE FIELD,41.9802588,-87.9089858,"(41.9802588,-87.9089858)",CHICAGO,IL,60666
1199025,2300 N Childrens Plaza PLZ BLDG,41.9203468,-87.6433139,"(41.9203468,-87.6433139)",CHICAGO,IL,60614
2572252,3625 S Hoyne,41.8276402,-87.6773181,"(41.8276402,-87.6773181)",CHICAGO,IL,60609
1305295,6011 S Rockwell AVE,41.7840433,-87.6883007,"(41.7840433,-87.6883007)",CHICAGO,IL,60629
2602225,7141 S Morgan ST,41.7636974,-87.6486262,"(41.7636974,-87.6486262)",CHICAGO,IL,60621
1566818,1401 S CALIFORNIA AVE,41.8622623,-87.6951383,"(41.8622623,-87.6951383)",CHICAGO,IL,60608
1290245,3625 S Hoyne,41.8276402,-87.6773181,"(41.8276402,-87.6773181)",CHICAGO,IL,60609
1279258,1401 S CALIFORNIA AVE,41.8622623,-87.6951383,"(41.8622623,-87.6951383)",CHICAGO,IL,60608
1285562,2920 S WENWORTH STE 2,41.84055,-87.6318954,"(41.84055,-87.6318954)",CHICAGO,IL,60616
671188,2646 N MILWAUKEE AVE AVE,41.8915991,-87.6483887,"Milwaukee Ave & Grand Ave, North Milwaukee Avenue, River West, Chicago, West Chicago Township, Cook County, Illinois, 60661, United States of America",CHICAGO,IL,60661
1214556,249 PORTER LN,41.7142788,-88.0621702,"249, Porter Lane, Winston Village, Barbers Corners, Bolingbrook, Will County, Illinois, 60440, United States of America",BOLINGBROOK,IL,60440
2497865,1700 N THROOP ST,41.9139941,-87.6623086,"1700, North Throop Street, Chicago, West Chicago Township, Cook County, Illinois, 60622, United States of America",CHICAGO,IL,60622
635002,22351 N PINE RIDGE CT,41.4834854,-87.810493,"22351, North Pine Ridge Court, Frankfort, Will County, Illinois, 60423, United States of America",FRANKFORT,IL,60423
529344,5114 S Elizabeth ST,41.8000688,-87.6565647,"(41.8000688,-87.6565647)",CHICAGO,IL,60609
2581447,7141 S Morgan ST,41.7636974,-87.6486262,"(41.7636974,-87.6486262)",CHICAGO,IL,60621
580245,4000 N OHARE AIRPORT,41.9802588,-87.9089858,"(41.9802588,-87.9089858)",CHICAGO,IL,60666
2603597,6657 S Kimbark AVE,41.7737472,-87.5940266,"(41.7737472,-87.5940266)",CHICAGO,IL,60637
2603796,8601 W FOSTER AVE,41.9728267,-87.841588,"(41.9728267,-87.841588)",CHICAGO,IL,60656
